idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,params_8,params_9,params_10,params_11,fitness_1,gen,test_rmse,val_rmse,train_rmse,avg,num_params,train_time,snip_values,test_scores,found_lr
21,22,16,22,15,9,14,13,11,16,2,2,0.0,0.0,17.42229461669922,17.721120834350586,19.251914983718628,18.486517909034607,3061737,1336.9779300689697,7908.489,1186.407694967173,1e-05
22,11,15,18,16,23,25,16,12,3,2,1,0.0,0.0,17.871501922607422,18.229272842407227,22.47572754209492,20.35250019225107,762405,1338.843136548996,7465.456,1346.0070391874547,1e-05
23,15,12,25,7,21,7,5,3,14,3,1,0.0,0.0,19.492504119873047,18.84845542907715,21.839424924806515,20.34394017694183,975725,556.0296738147736,15896.08,1800.9972630892203,1e-05
24,20,15,22,8,21,18,10,9,11,1,2,0.0,0.0,15.983965873718262,17.615493774414062,19.009537780195544,18.312515777304803,1543541,611.8533902168274,1544.9824,1029.6103325802055,1e-05
25,22,7,20,17,10,10,10,10,15,1,3,0.0,0.0,19.3507022857666,18.967222213745117,22.09511332069674,20.53116776722093,2142677,323.03275322914124,9580.676,2306.184170404823,1e-05
26,20,18,13,12,10,19,10,6,5,3,3,0.0,0.0,18.10083770751953,17.84614372253418,20.56904354724859,19.207593634891385,1638733,960.5058016777039,7778.316,1587.6716719502535,1e-05
27,8,18,20,18,11,17,4,13,9,1,3,0.0,0.0,19.358417510986328,19.838735580444336,23.80035325774699,21.819544419095664,715649,535.3924496173859,6735.623,1736.4855059525567,1e-05
28,12,25,20,16,18,13,6,14,8,1,1,0.0,0.0,17.854446411132812,18.463909149169922,21.14026932339456,19.802089236282242,645885,802.6004967689514,8282.286,1387.3156878261334,1e-05
29,17,15,24,20,6,21,10,7,1,2,1,0.0,0.0,17.82660484313965,19.134014129638672,21.406752095780064,20.270383112709368,812349,1090.7786366939545,5150.627,1349.5217350954372,1e-05
30,18,17,11,25,23,12,9,1,8,3,3,0.0,0.0,18.832460403442383,18.90228271484375,22.291585373451205,20.596934044147478,1373185,581.0961120128632,7692.0947,1461.732114651339,1e-05
31,23,25,15,6,19,23,4,2,5,2,3,0.0,0.0,18.420665740966797,17.826961517333984,20.89050760297132,19.35873456015265,1337421,448.0208327770233,10339.987,1784.049465322122,1e-05
32,25,10,8,12,25,13,8,16,13,3,2,0.0,0.0,17.439990997314453,16.193756103515625,18.140966075014116,17.167361089264872,1910049,2670.4759662151337,7639.5605,1362.156738632138,1e-05
33,17,23,10,23,22,23,7,5,5,2,1,0.0,0.0,18.87610626220703,18.634296417236328,22.18781665183532,20.411056534535824,680861,446.29314494132996,4288.6685,1689.8723133955086,1e-05
34,14,14,15,24,15,19,15,16,7,3,3,0.0,0.0,18.18410301208496,19.271814346313477,21.00494590047027,20.138380123391872,1840969,2465.6965188980103,8705.966,1433.3271435112597,1e-05
35,14,17,23,14,8,17,15,7,10,2,1,0.0,0.0,17.889528274536133,18.582935333251953,20.67363573479396,19.628285534022957,1181509,871.2994873523712,8502.968,1329.6681916374189,1e-05
36,24,15,10,13,17,24,2,4,10,2,1,0.0,0.0,19.147615432739258,18.474300384521484,22.175274992912048,20.324787688716768,691345,461.6350221633911,9802.043,1841.7307831501266,1e-05
37,23,9,13,13,16,6,15,1,13,2,3,0.0,0.0,17.71881103515625,18.073928833007812,20.20898535482345,19.141457093915633,1850241,687.5263020992279,11879.764,1320.0303380658183,1e-05
38,25,8,22,14,6,20,8,16,16,1,3,0.0,0.0,18.013795852661133,18.50745964050293,21.278452400238283,19.892956020370605,2957321,611.0796489715576,15741.948,1364.4270906885954,1e-05
39,8,14,18,20,8,6,8,1,11,3,1,0.0,0.0,18.420347213745117,18.991683959960938,22.322383481456388,20.65703372070866,429161,572.4115598201752,5918.1255,1629.524295003861,1e-05
40,20,21,11,8,20,13,7,10,16,3,1,0.0,0.0,19.033870697021484,18.48515510559082,21.31121711980912,19.898186112699968,1773189,1172.2837707996368,3053.411,1651.5584250396448,1e-05
41,7,7,12,8,18,12,15,13,7,3,1,0.0,0.0,22.80931854248047,21.713998794555664,27.91282154975399,24.813410172154825,441417,947.9765610694885,5611.7427,3554.4586410319575,1e-05
42,24,12,21,21,18,9,16,11,16,1,3,0.0,0.0,17.91364288330078,19.30593490600586,23.28102912739596,21.29348201670091,3180745,416.68647599220276,15719.12,1395.8234703523706,1e-05
43,10,16,22,20,16,23,14,3,14,2,2,0.0,0.0,17.11992645263672,18.288658142089844,20.298576866543304,19.293617504316572,1137953,664.5876207351685,4989.9043,1284.5548710670287,1e-05
44,6,9,14,20,7,15,6,7,2,3,3,0.0,0.0,25.79888343811035,23.079421997070312,33.9494746100518,28.514448303561057,253513,406.4466619491577,4431.4287,4925.0657767237935,1e-05
45,17,23,6,9,14,18,10,2,15,1,2,0.0,0.0,19.199501037597656,19.532325744628906,24.26877034941027,21.90054804701959,1176569,397.1537973880768,8705.78,1597.060539663995,1e-05
46,17,17,25,10,11,21,12,12,5,3,2,0.0,0.0,16.182641983032227,17.967817306518555,19.495245900584106,18.731531603551332,2169281,1709.7636287212372,11928.243,1177.2997192495927,1e-05
47,23,13,7,19,12,8,7,11,6,1,1,0.0,0.0,17.2606143951416,17.74294662475586,20.425016069318296,19.083981347037078,481133,534.9083075523376,6430.5137,1286.9539417049746,1e-05
48,19,7,8,19,12,18,2,11,3,1,2,0.0,0.0,21.112031936645508,20.31186866760254,25.03749784224823,22.674683254925384,278353,429.4820623397827,6620.008,2260.511825217053,1e-05
49,6,12,14,17,13,20,12,15,10,2,3,0.0,0.0,22.407543182373047,21.87445831298828,25.587148386464325,23.7308033497263,595969,929.96679520607,2566.0752,2636.9042621044555,1e-05
50,16,24,12,21,12,9,7,8,1,3,1,0.0,0.0,19.751813888549805,18.323938369750977,22.83368396333578,20.578811166543378,930737,1158.3232851028442,5109.5557,3636.2144563432335,1e-05
51,11,13,13,22,18,10,4,3,1,2,3,0.0,0.0,19.43501853942871,19.39171600341797,23.463005938617865,21.42736097101792,228361,383.5887625217438,4002.1033,1620.430281340747,1e-05
52,11,8,14,25,15,8,14,14,4,2,1,0.0,0.0,19.71718406677246,19.331830978393555,22.355094999326102,20.843462988859827,532489,991.2134907245636,4109.148,1885.5357658795554,1e-05
53,9,24,13,19,6,7,11,15,12,3,2,0.0,0.0,19.04587745666504,19.329111099243164,23.04618672475735,21.187648912000256,1373793,2129.981924533844,9803.184,1554.1472324742856,1e-05
54,18,12,8,10,20,20,14,13,3,1,2,0.0,0.0,18.28751564025879,18.505638122558594,22.28024697213951,20.39294254734905,498737,621.3664944171906,3494.3425,1380.579834578613,1e-05
55,25,16,24,19,19,11,5,8,3,2,3,0.0,0.0,19.063241958618164,18.44927215576172,21.921005912649683,20.1851390342057,1509637,889.1298415660858,9334.894,1571.0705747041584,1e-05
56,14,24,12,18,9,14,1,3,2,2,1,0.0,0.0,18.642742156982422,18.692169189453125,22.5477249643808,20.619947076916965,231329,230.66488194465637,1399.334,1626.1405045113675,1e-05
57,12,25,24,13,20,19,11,2,14,1,3,0.0,0.0,17.140827178955078,18.099090576171875,19.05996188140154,18.57952622878671,1866313,519.596111536026,1190.8547,1291.3735073285418,1e-05
58,24,19,6,7,16,7,1,13,2,3,3,0.0,0.0,17.338905334472656,17.335983276367188,21.652506865544986,19.494245070956087,1120681,1394.5735247135162,6114.33,1394.20838635761,1e-05
59,9,18,17,25,8,24,7,13,3,2,3,0.0,0.0,18.362991333007812,19.15961265563965,22.988321875756785,21.073967265698215,629977,1004.6205122470856,6458.7676,1441.0709172988004,1e-05
60,8,17,17,23,6,16,6,9,13,3,2,0.0,0.0,19.671367645263672,18.84868049621582,21.20078455416847,20.024732525192146,879805,1120.4058396816254,1582.7396,1952.3423915329722,1e-05
61,12,23,11,18,21,24,13,11,13,3,3,0.0,0.0,19.555004119873047,16.64004135131836,21.002579851033726,18.821310601176044,2038933,1461.73850274086,10270.763,2171.6815666639404,1e-05
62,19,23,16,21,13,9,9,4,2,1,2,0.0,0.0,18.522258758544922,18.582542419433594,21.86561544133771,20.22407893038565,539125,367.11420154571533,4404.6006,1481.330294382547,1e-05
63,12,7,18,14,13,6,3,5,9,1,3,0.0,0.0,17.905946731567383,18.296428680419922,21.404657645379345,19.850543162899633,618901,292.07971572875977,1720.8607,1557.126347790219,1e-05
64,13,22,19,21,9,25,13,12,7,2,1,0.0,0.0,16.940093994140625,17.6047420501709,20.043106307741684,18.82392417895629,1133837,1467.7908852100372,9036.39,1247.7424516244755,1e-05
65,17,25,6,11,23,16,16,14,1,1,3,0.0,0.0,20.914838790893555,20.186975479125977,24.271517953565045,22.22924671634551,660881,697.0360853672028,4740.11,2125.3865485956176,1e-05
66,9,11,11,10,7,24,8,7,11,3,1,0.0,0.0,19.751691818237305,19.330875396728516,21.958183701704908,20.644529549216713,451309,982.9508607387543,2253.9866,1800.0402903854178,1e-05
67,16,21,12,15,20,11,16,4,10,1,2,0.0,0.0,18.596553802490234,18.127727508544922,21.88969882405049,20.008713166297706,1051045,379.39589500427246,6559.5806,1688.5787417064764,1e-05
68,15,19,9,24,16,21,16,14,12,2,2,0.0,0.0,18.034330368041992,18.116355895996094,21.13429644174586,19.625326168870977,1518549,1027.9691865444183,8807.661,1437.4543939621512,1e-05
69,15,17,17,16,10,14,3,8,11,2,3,0.0,0.0,17.825376510620117,17.803335189819336,19.615660494087663,18.7094978419535,1490057,826.2361264228821,2782.515,1373.552642882285,1e-05
70,7,23,15,14,22,24,6,5,7,3,2,0.0,0.0,19.617897033691406,18.581541061401367,23.40627844493841,20.993909753169888,558805,1117.0146207809448,5862.8535,1803.6549468562712,1e-05
71,6,18,25,6,12,22,2,11,6,3,2,0.0,0.0,21.790416717529297,21.671836853027344,26.942652317086274,24.307244585056807,542769,1138.0782697200775,5019.5273,3436.177390558044,1e-05
72,10,22,15,6,21,6,15,7,9,3,1,0.0,0.0,18.433320999145508,18.804912567138672,22.17856802222549,20.49174029468208,1028189,865.7607223987579,12783.697,1550.917453426072,1e-05
73,8,20,8,21,16,8,2,5,14,2,2,0.0,0.0,19.436294555664062,19.527130126953125,23.611207538376206,21.569168832664666,529417,632.7939131259918,5499.589,1720.6284405779081,1e-05
74,20,10,9,23,25,15,7,16,12,1,2,0.0,0.0,17.71706771850586,17.650047302246094,20.433818422209832,19.041932862227963,923433,611.0312843322754,4604.757,1306.1320512804896,1e-05
75,18,15,19,12,6,9,5,7,7,1,1,0.0,0.0,17.79344940185547,18.210681915283203,20.87317127363423,19.541926594458715,533197,453.9873969554901,8410.107,1254.2555087360086,1e-05
76,13,11,16,15,7,17,12,4,12,2,2,0.0,0.0,18.905502319335938,18.443988800048828,21.47634290732169,19.96016585368526,938237,616.4584391117096,11388.762,1503.0276662457068,1e-05
77,13,10,24,25,8,19,4,8,9,3,3,0.0,0.0,16.689983367919922,18.36510467529297,19.229391386611727,18.797248030952346,1346281,984.745717048645,2562.5693,1293.2244363948903,1e-05
78,21,14,12,13,10,17,11,9,4,2,1,0.0,0.0,19.10862922668457,19.344314575195312,23.25579413011277,21.30005435265404,891829,810.1902103424072,8120.1567,1506.544432736114,1e-05
79,22,11,21,16,9,22,14,2,8,2,1,0.0,0.0,17.975830078125,18.899826049804688,19.685590005034236,19.29270802741946,1143409,793.133531332016,1879.467,1352.610757894302,1e-05
80,21,14,9,18,17,23,4,6,6,2,2,0.0,0.0,18.928607940673828,19.07546615600586,22.320752680668928,20.698109418337395,769653,439.8564553260803,6637.0156,1443.733169318692,1e-05
81,19,20,23,17,10,19,14,15,11,3,3,0.0,0.0,20.80401039123535,21.778989791870117,24.834873701120753,23.306931746495437,4095889,1147.3702223300934,14583.023,2487.82503732601,1e-05
82,24,21,9,17,17,22,12,4,13,3,3,0.0,0.0,17.69933319091797,18.026641845703125,19.945318769279243,18.985980307491182,3047137,1169.886572599411,11402.42,1490.0986805801394,1e-05
83,11,16,14,9,13,6,13,1,15,2,1,0.0,0.0,17.945158004760742,17.882043838500977,21.549269467976785,19.71565665323888,635825,698.0451531410217,7523.287,1324.2807941887627,1e-05
84,13,9,10,15,24,8,1,14,5,3,1,0.0,0.0,19.90999984741211,18.427270889282227,22.34897121064188,20.388121049962052,494293,1870.203654050827,12077.501,1940.1602125199515,1e-05
85,10,19,25,19,24,13,3,10,16,1,1,0.0,0.0,19.194766998291016,20.276906967163086,24.64362831833542,22.46026764274925,656385,239.6556417942047,13612.613,1754.4456825242,1e-05
86,14,13,17,15,14,10,8,16,13,1,1,0.0,0.0,18.997066497802734,19.245939254760742,21.545433077641125,20.39568616620093,696125,711.3425178527832,14786.814,1818.3306002285474,1e-05
87,19,22,16,22,24,12,16,12,4,1,2,0.0,0.0,16.7799129486084,17.414506912231445,20.50412684549684,18.959316878864144,1068765,697.8809263706207,5726.098,1184.629997125202,1e-05
88,21,21,22,9,14,21,10,15,12,1,2,0.0,0.0,18.73777198791504,18.76331329345703,23.054497574990794,20.90890543422391,2163681,561.1347403526306,13411.922,1444.295078683043,1e-05
89,6,24,9,7,22,14,9,11,10,1,1,0.0,0.0,20.065326690673828,19.884920120239258,24.643603701998856,22.264261911119057,264653,391.55705547332764,5621.3345,1830.023886365671,1e-05
90,18,20,6,24,21,18,7,1,14,3,1,0.0,0.0,19.266094207763672,18.81861114501953,21.812728153762,20.315669649390763,877285,624.8607034683228,7777.4907,1743.917249985734,1e-05
91,16,6,21,6,20,22,9,4,9,3,3,0.0,0.0,18.007966995239258,19.36933135986328,22.495473838328582,20.93240259909593,1369537,774.3999545574188,8159.6104,1408.4165692476272,1e-05
92,8,19,16,17,11,21,3,1,6,1,3,0.0,0.0,19.330821990966797,19.010408401489258,23.17402021066884,21.09221430607905,386221,249.36747646331787,2332.4517,1689.6656829685876,1e-05
93,10,8,15,12,15,16,5,9,13,2,2,0.0,0.0,19.3232479095459,19.672637939453125,22.723573917022314,21.19810592823772,621985,826.5953068733215,7397.433,1638.438293105632,1e-05
94,15,13,10,11,11,14,5,12,8,2,1,0.0,0.0,19.880138397216797,19.41632843017578,22.561380881481618,20.9888546558287,587633,542.5000438690186,3732.3755,2140.962745734699,1e-05
95,25,20,13,24,23,15,1,9,3,1,1,0.0,0.0,18.441055297851562,18.287275314331055,21.65969887227865,19.973487093304854,483849,481.242418050766,8789.915,1384.6425980166887,1e-05
96,7,19,23,11,14,11,1,2,6,2,1,0.0,0.0,19.434600830078125,19.499174118041992,23.341704530337314,21.42043932418965,186781,339.3259084224701,1232.3298,2464.009829638698,1e-05
97,10,24,16,8,19,20,4,9,6,3,3,0.0,0.0,19.052907943725586,18.897171020507812,23.477848089055932,21.187509554781872,1011685,1011.0695621967316,6936.4434,1636.4291446462946,1e-05
98,6,12,11,22,11,13,2,6,9,1,1,0.0,0.0,21.999414443969727,20.992830276489258,26.436742861809268,23.71478656914926,126617,280.36849880218506,4680.7188,2354.770221046182,1e-05
99,7,10,14,14,14,23,9,15,1,1,3,0.0,0.0,23.685871124267578,22.364660263061523,30.071090560203398,26.217875411632463,187037,469.2015118598938,1810.0183,3689.4740800949103,1e-05
